monkey;task;session;trials;stimulus;selection
g;Artificial Discrimination;50,0;278,0;ctr;str
g;Artificial Discrimination;50,0;279,0;str;str
g;Artificial Discrimination;50,0;280,0;ctr;str
g;Artificial Discrimination;50,0;281,0;ctr;str
g;Artificial Discrimination;50,0;282,0;ctr;str
g;Artificial Discrimination;50,0;283,0;ctr;str
g;Artificial Discrimination;50,0;284,0;ctr;ctr
g;Artificial Discrimination;50,0;285,0;ctr;str
g;Artificial Discrimination;50,0;286,0;ctr;ctr
g;Artificial Discrimination;50,0;287,0;str;ctr
g;Artificial Discrimination;50,0;288,0;ctr;ctr
g;Artificial Discrimination;50,0;289,0;ctr;str
g;Artificial Discrimination;50,0;290,0;str;str
g;Artificial Discrimination;50,0;291,0;str;str
g;Artificial Discrimination;50,0;292,0;ctr;ctr
g;Artificial Discrimination;50,0;293,0;str;ctr
g;Artificial Discrimination;50,0;294,0;ctr;str
g;Artificial Discrimination;50,0;295,0;str;str
g;Artificial Discrimination;50,0;296,0;ctr;ctr
g;Artificial Discrimination;50,0;297,0;ctr;ctr
g;Artificial Discrimination;50,0;298,0;ctr;str
g;Artificial Discrimination;50,0;299,0;str;str
g;Artificial Discrimination;50,0;300,0;str;ctr
g;Artificial Discrimination;50,0;301,0;ctr;ctr
g;Artificial Discrimination;50,0;302,0;ctr;str
g;Artificial Discrimination;50,0;303,0;ctr;ctr
g;Artificial Discrimination;50,0;304,0;str;str
g;Artificial Discrimination;50,0;305,0;str;ctr
g;Artificial Discrimination;50,0;306,0;str;str
g;Artificial Discrimination;50,0;307,0;str;str
g;Artificial Discrimination;50,0;308,0;ctr;str
g;Artificial Discrimination;50,0;309,0;str;str
g;Artificial Discrimination;50,0;310,0;ctr;ctr
g;Artificial Discrimination;50,0;311,0;ctr;str
g;Artificial Discrimination;50,0;312,0;str;ctr
g;Artificial Discrimination;50,0;313,0;ctr;str
g;Artificial Discrimination;50,0;314,0;str;str
g;Artificial Discrimination;50,0;315,0;ctr;str
g;Artificial Discrimination;50,0;316,0;ctr;str
g;Artificial Discrimination;50,0;317,0;str;ctr
g;Artificial Discrimination;50,0;318,0;ctr;ctr
g;Artificial Discrimination;50,0;319,0;ctr;ctr
g;Artificial Discrimination;50,0;320,0;ctr;str
g;Artificial Discrimination;50,0;321,0;str;ctr
g;Artificial Discrimination;50,0;322,0;ctr;str
g;Artificial Discrimination;50,0;323,0;str;ctr
g;Artificial Discrimination;50,0;324,0;ctr;str
g;Artificial Discrimination;50,0;325,0;str;ctr
g;Artificial Discrimination;50,0;326,0;ctr;str
g;Artificial Discrimination;50,0;327,0;str;ctr
g;Artificial Discrimination;50,0;328,0;ctr;ctr
g;Artificial Discrimination;50,0;342,0;str;ctr
g;Artificial Discrimination;50,0;343,0;str;ctr
g;Artificial Discrimination;50,0;344,0;str;str
g;Artificial Discrimination;50,0;345,0;ctr;str
g;Artificial Discrimination;50,0;346,0;ctr;ctr
g;Artificial Discrimination;50,0;347,0;ctr;str
g;Artificial Discrimination;50,0;348,0;ctr;ctr
g;Artificial Discrimination;50,0;349,0;ctr;ctr
g;Artificial Discrimination;50,0;350,0;str;str
g;Artificial Discrimination;50,0;351,0;ctr;str
g;Artificial Discrimination;50,0;352,0;str;ctr
g;Artificial Discrimination;50,0;353,0;ctr;str
g;Artificial Discrimination;50,0;354,0;ctr;str
g;Artificial Discrimination;50,0;355,0;str;ctr
g;Artificial Discrimination;50,0;356,0;str;str
g;Artificial Discrimination;50,0;357,0;ctr;str
g;Artificial Discrimination;50,0;358,0;ctr;ctr
g;Artificial Discrimination;50,0;359,0;ctr;ctr
g;Artificial Discrimination;50,0;360,0;str;str
g;Artificial Discrimination;50,0;361,0;ctr;ctr
g;Artificial Discrimination;50,0;362,0;ctr;str
g;Artificial Discrimination;50,0;363,0;str;str
g;Artificial Discrimination;50,0;364,0;ctr;str
g;Artificial Discrimination;50,0;365,0;ctr;str
g;Artificial Discrimination;50,0;366,0;ctr;ctr
g;Artificial Discrimination;50,0;367,0;ctr;str
g;Artificial Discrimination;50,0;368,0;ctr;ctr
g;Artificial Discrimination;50,0;369,0;ctr;str
g;Artificial Discrimination;50,0;370,0;str;str
g;Artificial Discrimination;50,0;371,0;str;ctr
g;Artificial Discrimination;50,0;372,0;ctr;ctr
g;Artificial Discrimination;50,0;373,0;str;ctr
g;Artificial Discrimination;50,0;374,0;ctr;ctr
g;Artificial Discrimination;50,0;375,0;str;ctr
g;Artificial Discrimination;50,0;376,0;str;ctr
g;Artificial Discrimination;50,0;377,0;str;ctr
g;Artificial Discrimination;50,0;378,0;str;ctr
g;Artificial Discrimination;50,0;379,0;ctr;ctr
g;Artificial Discrimination;50,0;380,0;str;str
g;Artificial Discrimination;50,0;381,0;ctr;ctr
g;Artificial Discrimination;50,0;382,0;ctr;str
g;Artificial Discrimination;50,0;383,0;str;str
g;Artificial Discrimination;50,0;384,0;ctr;str
g;Artificial Discrimination;50,0;385,0;ctr;str
g;Artificial Discrimination;50,0;386,0;str;str
g;Artificial Discrimination;50,0;387,0;ctr;ctr
g;Artificial Discrimination;50,0;388,0;ctr;ctr
g;Artificial Discrimination;50,0;389,0;ctr;str
g;Artificial Discrimination;50,0;390,0;str;ctr
g;Artificial Discrimination;50,0;391,0;str;ctr
g;Artificial Discrimination;50,0;392,0;str;str
g;Artificial Discrimination;50,0;393,0;str;ctr
g;Artificial Discrimination;50,0;394,0;str;ctr
g;Artificial Discrimination;50,0;395,0;str;str
g;Artificial Discrimination;50,0;396,0;ctr;str
g;Artificial Discrimination;50,0;397,0;ctr;ctr
g;Artificial Discrimination;50,0;398,0;ctr;ctr
g;Artificial Discrimination;50,0;399,0;ctr;ctr
g;Artificial Discrimination;50,0;400,0;str;str
g;Artificial Discrimination;50,0;401,0;str;str
g;Artificial Discrimination;50,0;402,0;str;str
g;Artificial Discrimination;51,0;25,0;ctr;str
g;Artificial Discrimination;51,0;26,0;str;ctr
g;Artificial Discrimination;51,0;27,0;ctr;str
g;Artificial Discrimination;51,0;28,0;str;str
g;Artificial Discrimination;51,0;39,0;str;str
g;Artificial Discrimination;51,0;40,0;str;ctr
g;Artificial Discrimination;51,0;41,0;ctr;str
g;Artificial Discrimination;51,0;42,0;ctr;ctr
g;Artificial Discrimination;51,0;43,0;str;ctr
g;Artificial Discrimination;51,0;44,0;ctr;str
g;Artificial Discrimination;51,0;45,0;ctr;ctr
g;Artificial Discrimination;51,0;46,0;str;ctr
g;Artificial Discrimination;51,0;47,0;ctr;str
g;Artificial Discrimination;51,0;48,0;ctr;str
g;Artificial Discrimination;51,0;49,0;str;str
g;Artificial Discrimination;51,0;50,0;str;str
g;Artificial Discrimination;51,0;51,0;ctr;str
g;Artificial Discrimination;51,0;52,0;str;str
g;Artificial Discrimination;51,0;53,0;ctr;str
g;Artificial Discrimination;51,0;54,0;str;str
g;Artificial Discrimination;51,0;55,0;ctr;ctr
g;Artificial Discrimination;51,0;56,0;ctr;str
g;Artificial Discrimination;51,0;57,0;ctr;ctr
g;Artificial Discrimination;52,0;2,0;ctr;str
g;Artificial Discrimination;52,0;49,0;str;ctr
g;Artificial Discrimination;52,0;50,0;ctr;ctr
g;Artificial Discrimination;52,0;51,0;str;str
g;Artificial Discrimination;52,0;52,0;ctr;ctr
g;Artificial Discrimination;52,0;53,0;str;str
g;Artificial Discrimination;52,0;54,0;str;str
g;Artificial Discrimination;52,0;55,0;str;ctr
g;Artificial Discrimination;52,0;56,0;str;ctr
g;Artificial Discrimination;52,0;57,0;ctr;str
g;Artificial Discrimination;52,0;58,0;ctr;ctr
g;Artificial Discrimination;52,0;59,0;ctr;ctr
g;Artificial Discrimination;52,0;60,0;str;ctr
g;Artificial Discrimination;52,0;61,0;ctr;str
g;Artificial Discrimination;52,0;62,0;str;ctr
g;Artificial Discrimination;52,0;63,0;str;str
g;Artificial Discrimination;52,0;64,0;str;str
g;Artificial Discrimination;52,0;65,0;ctr;str
g;Artificial Discrimination;52,0;66,0;ctr;ctr
g;Artificial Discrimination;52,0;67,0;ctr;ctr
g;Artificial Discrimination;52,0;68,0;str;str
g;Artificial Discrimination;52,0;69,0;str;str
g;Artificial Discrimination;52,0;70,0;str;ctr
g;Artificial Discrimination;52,0;71,0;ctr;ctr
g;Artificial Discrimination;52,0;72,0;str;ctr
g;Artificial Discrimination;52,0;73,0;ctr;ctr
g;Artificial Discrimination;52,0;74,0;str;ctr
g;Artificial Discrimination;52,0;75,0;ctr;str
g;Artificial Discrimination;52,0;76,0;str;str
g;Artificial Discrimination;52,0;77,0;str;ctr
g;Artificial Discrimination;52,0;78,0;str;str
g;Artificial Discrimination;52,0;79,0;ctr;ctr
g;Artificial Discrimination;52,0;80,0;str;ctr
g;Artificial Discrimination;52,0;81,0;str;ctr
g;Artificial Discrimination;52,0;82,0;str;str
g;Artificial Discrimination;52,0;83,0;ctr;ctr
g;Artificial Discrimination;52,0;84,0;ctr;str
g;Artificial Discrimination;52,0;85,0;str;ctr
g;Artificial Discrimination;52,0;86,0;str;str
g;Artificial Discrimination;52,0;87,0;ctr;str
g;Artificial Discrimination;52,0;88,0;ctr;ctr
g;Artificial Discrimination;52,0;89,0;str;str
g;Artificial Discrimination;52,0;90,0;str;str
g;Artificial Discrimination;52,0;91,0;str;ctr
g;Artificial Discrimination;52,0;92,0;ctr;ctr
g;Artificial Discrimination;52,0;93,0;ctr;str
g;Artificial Discrimination;52,0;94,0;str;str
g;Artificial Discrimination;52,0;95,0;str;str
g;Artificial Discrimination;52,0;96,0;ctr;ctr
g;Artificial Discrimination;52,0;97,0;ctr;str
g;Artificial Discrimination;52,0;99,0;str;ctr
g;Artificial Discrimination;52,0;100,0;ctr;str
g;Artificial Discrimination;52,0;101,0;str;ctr
g;Artificial Discrimination;52,0;102,0;ctr;str
g;Artificial Discrimination;52,0;103,0;str;ctr
g;Artificial Discrimination;52,0;104,0;ctr;str
g;Artificial Discrimination;52,0;105,0;str;str
g;Artificial Discrimination;52,0;153,0;ctr;str
g;Artificial Discrimination;52,0;154,0;str;str
g;Artificial Discrimination;52,0;155,0;ctr;str
g;Artificial Discrimination;52,0;156,0;str;ctr
g;Artificial Discrimination;52,0;157,0;str;ctr
g;Artificial Discrimination;52,0;158,0;str;ctr
g;Artificial Discrimination;52,0;159,0;ctr;ctr
g;Artificial Discrimination;52,0;160,0;ctr;str
g;Artificial Discrimination;52,0;161,0;ctr;str
g;Artificial Discrimination;52,0;162,0;ctr;str
g;Artificial Discrimination;52,0;163,0;ctr;str
g;Artificial Discrimination;52,0;164,0;str;str
g;Artificial Discrimination;52,0;219,0;ctr;str
g;Artificial Discrimination;52,0;220,0;ctr;ctr
g;Artificial Discrimination;52,0;221,0;ctr;str
g;Artificial Discrimination;52,0;222,0;ctr;str
g;Artificial Discrimination;52,0;223,0;str;str
g;Artificial Discrimination;52,0;224,0;ctr;ctr
g;Artificial Discrimination;52,0;225,0;ctr;ctr
g;Artificial Discrimination;52,0;226,0;str;str
g;Artificial Discrimination;52,0;227,0;str;ctr
g;Artificial Discrimination;53,0;383,0;ctr;ctr
g;Artificial Discrimination;53,0;384,0;ctr;ctr
g;Artificial Discrimination;53,0;385,0;str;ctr
g;Artificial Discrimination;53,0;386,0;str;str
g;Artificial Discrimination;53,0;387,0;ctr;ctr
g;Artificial Discrimination;53,0;388,0;str;ctr
g;Artificial Discrimination;53,0;389,0;str;str
g;Artificial Discrimination;53,0;390,0;ctr;str
g;Artificial Discrimination;53,0;391,0;str;ctr
g;Artificial Discrimination;53,0;392,0;str;ctr
g;Artificial Discrimination;53,0;393,0;str;ctr
g;Artificial Discrimination;53,0;394,0;ctr;str
g;Artificial Discrimination;53,0;395,0;ctr;str
g;Artificial Discrimination;53,0;396,0;str;str
g;Artificial Discrimination;53,0;397,0;ctr;ctr
g;Artificial Discrimination;53,0;398,0;ctr;ctr
g;Artificial Discrimination;53,0;399,0;str;str
g;Artificial Discrimination;53,0;400,0;str;ctr
g;Artificial Discrimination;53,0;401,0;ctr;str
g;Artificial Discrimination;53,0;402,0;ctr;str
g;Artificial Discrimination;53,0;403,0;str;str
g;Artificial Discrimination;53,0;404,0;str;ctr
g;Artificial Discrimination;53,0;405,0;ctr;ctr
g;Artificial Discrimination;53,0;406,0;str;ctr
g;Artificial Discrimination;53,0;407,0;str;str
g;Artificial Discrimination;53,0;408,0;str;ctr
g;Artificial Discrimination;53,0;409,0;ctr;ctr
g;Artificial Discrimination;53,0;410,0;ctr;ctr
g;Artificial Discrimination;53,0;411,0;str;ctr
g;Artificial Discrimination;53,0;412,0;ctr;ctr
g;Artificial Discrimination;53,0;413,0;ctr;ctr
g;Artificial Discrimination;54,0;175,0;str;str
g;Artificial Discrimination;54,0;176,0;str;ctr
g;Artificial Discrimination;54,0;177,0;str;ctr
g;Artificial Discrimination;54,0;178,0;ctr;ctr
g;Artificial Discrimination;54,0;179,0;ctr;ctr
g;Artificial Discrimination;54,0;180,0;str;str
g;Artificial Discrimination;54,0;181,0;str;str
g;Artificial Discrimination;54,0;182,0;str;ctr
g;Artificial Discrimination;54,0;183,0;ctr;ctr
g;Artificial Discrimination;54,0;184,0;ctr;str
g;Artificial Discrimination;54,0;185,0;str;ctr
g;Artificial Discrimination;54,0;186,0;ctr;str
g;Artificial Discrimination;54,0;187,0;str;str
g;Artificial Discrimination;54,0;188,0;ctr;str
g;Artificial Discrimination;54,0;189,0;ctr;str
g;Artificial Discrimination;54,0;190,0;ctr;str
g;Artificial Discrimination;54,0;191,0;str;str
g;Artificial Discrimination;54,0;192,0;ctr;ctr
g;Artificial Discrimination;54,0;193,0;ctr;ctr
g;Artificial Discrimination;54,0;194,0;str;str
g;Artificial Discrimination;54,0;195,0;str;ctr
g;Artificial Discrimination;54,0;196,0;str;str
g;Artificial Discrimination;54,0;197,0;str;str
g;Artificial Discrimination;54,0;198,0;ctr;str
g;Artificial Discrimination;54,0;199,0;str;str
g;Artificial Discrimination;54,0;200,0;ctr;str
g;Artificial Discrimination;54,0;201,0;ctr;ctr
g;Artificial Discrimination;54,0;202,0;ctr;str
g;Artificial Discrimination;54,0;203,0;ctr;str
g;Artificial Discrimination;54,0;204,0;str;ctr
g;Artificial Discrimination;54,0;205,0;ctr;ctr
g;Artificial Discrimination;54,0;206,0;ctr;ctr
g;Artificial Discrimination;54,0;207,0;ctr;ctr
g;Artificial Discrimination;54,0;208,0;ctr;ctr
g;Artificial Discrimination;54,0;209,0;str;str
g;Artificial Discrimination;54,0;210,0;ctr;str
g;Artificial Discrimination;54,0;211,0;str;ctr
g;Artificial Discrimination;54,0;212,0;ctr;ctr
g;Artificial Discrimination;54,0;213,0;str;str
g;Artificial Discrimination;54,0;214,0;ctr;str
g;Artificial Discrimination;54,0;215,0;ctr;ctr
g;Artificial Discrimination;54,0;216,0;ctr;str
g;Artificial Discrimination;54,0;217,0;str;str
g;Artificial Discrimination;54,0;218,0;str;str
g;Artificial Discrimination;54,0;219,0;str;ctr
g;Artificial Discrimination;54,0;220,0;str;ctr
g;Artificial Discrimination;54,0;221,0;ctr;ctr
g;Artificial Discrimination;54,0;222,0;str;ctr
g;Artificial Discrimination;54,0;223,0;ctr;ctr
g;Artificial Discrimination;54,0;224,0;ctr;str
g;Artificial Discrimination;54,0;225,0;ctr;str
g;Artificial Discrimination;54,0;226,0;str;ctr
g;Artificial Discrimination;54,0;227,0;ctr;str
g;Artificial Discrimination;54,0;228,0;str;str
g;Artificial Discrimination;54,0;229,0;str;str
g;Artificial Discrimination;54,0;230,0;ctr;ctr
g;Artificial Discrimination;54,0;231,0;str;ctr
g;Artificial Discrimination;54,0;232,0;ctr;ctr
g;Artificial Discrimination;54,0;233,0;ctr;str
g;Artificial Discrimination;54,0;234,0;str;ctr
g;Artificial Discrimination;54,0;235,0;str;str
g;Artificial Discrimination;54,0;236,0;str;str
g;Artificial Discrimination;54,0;237,0;ctr;ctr
g;Artificial Discrimination;54,0;238,0;ctr;str
g;Artificial Discrimination;54,0;239,0;str;str
g;Artificial Discrimination;54,0;240,0;ctr;str
g;Artificial Discrimination;54,0;241,0;str;ctr
g;Artificial Discrimination;54,0;242,0;ctr;str
g;Artificial Discrimination;54,0;243,0;str;str
g;Artificial Discrimination;54,0;244,0;ctr;str
g;Artificial Discrimination;54,0;245,0;ctr;ctr
g;Artificial Discrimination;54,0;246,0;str;ctr
g;Artificial Discrimination;54,0;247,0;ctr;ctr
g;Artificial Discrimination;54,0;248,0;ctr;str
g;Artificial Discrimination;54,0;249,0;str;ctr
g;Artificial Discrimination;54,0;250,0;ctr;str
g;Artificial Discrimination;54,0;251,0;str;ctr
g;Artificial Discrimination;54,0;257,0;ctr;ctr
g;Artificial Discrimination;54,0;267,0;ctr;ctr
g;Artificial Discrimination;54,0;268,0;str;ctr
g;Artificial Discrimination;54,0;269,0;ctr;ctr
g;Artificial Discrimination;54,0;270,0;ctr;str
g;Artificial Discrimination;54,0;275,0;str;ctr
g;Artificial Discrimination;54,0;276,0;str;str
g;Artificial Discrimination;54,0;277,0;str;ctr
g;Artificial Discrimination;54,0;278,0;str;str
g;Artificial Discrimination;54,0;279,0;str;str
g;Artificial Discrimination;54,0;280,0;ctr;str
g;Artificial Discrimination;54,0;281,0;ctr;str
g;Artificial Discrimination;54,0;282,0;str;str
g;Artificial Discrimination;54,0;283,0;str;str
g;Artificial Discrimination;54,0;284,0;str;ctr
g;Artificial Discrimination;54,0;285,0;ctr;str
g;Artificial Discrimination;54,0;286,0;str;ctr
g;Artificial Discrimination;54,0;287,0;str;ctr
g;Artificial Discrimination;54,0;288,0;ctr;str
g;Artificial Discrimination;54,0;289,0;ctr;str
g;Artificial Discrimination;54,0;290,0;str;ctr
g;Artificial Discrimination;54,0;291,0;ctr;ctr
g;Artificial Discrimination;54,0;292,0;str;ctr
g;Artificial Discrimination;54,0;293,0;str;str
g;Artificial Discrimination;54,0;335,0;ctr;ctr
g;Artificial Discrimination;54,0;336,0;ctr;ctr
g;Artificial Discrimination;54,0;337,0;str;str
g;Artificial Discrimination;54,0;338,0;ctr;ctr
g;Artificial Discrimination;54,0;339,0;ctr;ctr
g;Artificial Discrimination;54,0;340,0;ctr;ctr
g;Artificial Discrimination;54,0;341,0;ctr;ctr
